Column Name,Column Name 1
"AP®︎ US History","https://www.khanacademy.org/humanities/ap-us-history"
"AP®︎ US Government and Politics","https://www.khanacademy.org/humanities/ap-us-government-and-politics"
"US history","https://www.khanacademy.org/humanities/us-history"
"US government and civics","https://www.khanacademy.org/humanities/us-government-and-civics"
"AP®︎ World History","https://www.khanacademy.org/humanities/ap-world-history"
"AP®︎ Art History","https://www.khanacademy.org/humanities/ap-art-history"
"Grammar","https://www.khanacademy.org/humanities/grammar"
"World history","https://www.khanacademy.org/humanities/world-history"
"Art history","https://www.khanacademy.org/humanities/art-history"
"Storytelling","https://www.khanacademy.org/humanities/hass-storytelling"
"Music","https://www.khanacademy.org/humanities/music"
"World History Project - Origins (beta)","https://www.khanacademy.org/humanities/whp-origins"
"Arts & humanities partners","https://www.khanacademy.org/humanities/arts-humanities-partners"
