title,subject,interal_id,url,id_number,description
Basic economics concepts,AP®︎ Macroeconomics,x77a5ef340f4a4c40,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/basic-economics-concepts-macro,basic-economics-concepts-macro,In this unit  you'll learn fundamental economic concepts like scarcity  opportunity cost  and supply and demand.  You will learn things like the distinction between absolute and comparative advantage  how to identify comparative advantage from differences in opportunity costs  and how to apply the principle of comparative advantage to determine the basis on which mutually advantageous trade can take place between individuals and/or countries.
Economic indicators and the business cycle,AP®︎ Macroeconomics,x39b232cf9e590ae9,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/economic-iondicators-and-the-business-cycle,economic-iondicators-and-the-business-cycle,In this unit  you'll learn to identify and examine key measures of economic performance: gross domestic product  unemployment  and inflation. The concept of the business cycle also gives you an overview of economic fluctuations in the short run.
National income and price determination,AP®︎ Macroeconomics,xe2022996362d6ff5,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/national-income-and-price-determinations,national-income-and-price-determinations,In this unit  you'll learn how the aggregate supply and aggregate demand model helps explain the determination of equilibrium national output and the general price level  as well as to analyze and evaluate the effects of fiscal policy. You'll also learn about the impact of economic fluctuations on the economy’s output and price level  both in the short run and in the long run.
Financial sector,AP®︎ Macroeconomics,x777cc67365876328,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/ap-financial-sector,ap-financial-sector,In this unit  you'll learn about the financial sector and monetary policy.  By knowing the definition of money and other financial assets  you'll be able to explore how the money market and the loanable funds market determine equilibrium nominal and real interest rates.  Want to know more about central banks’ monetary policies and the effects of monetary policy actions? Explore this unit to find out!
Long-run consequences of stabilization policies,AP®︎ Macroeconomics,xc877e52029d8e7ab,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/ap-long-run-consequences-of-stabilization-policies,ap-long-run-consequences-of-stabilization-policies,In this unit  you'll build on your understanding of the effects of fiscal and monetary policy actions and to examine the concept of long-run economic growth.  Topics include short-run and long-run Phillips curves  the quantity theory of money  and crowding out.
Open economy international trade and finance,AP®︎ Macroeconomics,xa2bb98742072bce7,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/ap-open-economy-international-trade-and-finance,ap-open-economy-international-trade-and-finance,In this unit  you'll learn about open economies   how a country’s transactions with the rest of the world are recorded in the balance of payments accounts  how market forces and public policy affect the foreign exchange market  and how changes in net exports and financial capital flows affect financial and goods markets.
AP®︎ Macroeconomics Standards mappings,AP®︎ Macroeconomics,x9d575845d3547138,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/ap-macroeconomics-standards-mappings,ap-macroeconomics-standards-mappings,Dig into the world of AP®︎ Macroeconomics and find out how our free course material aligns with the standards set by the College Board
Resources and exam preparation,AP®︎ Macroeconomics,xd49b794cca86a9ac,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/ap-macro-resources-and-exam-preparation,ap-macro-resources-and-exam-preparation,
Basic economics concepts,AP®︎ Macroeconomics,x77a5ef340f4a4c40,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/basic-economics-concepts-macro,basic-economics-concepts-macro,In this unit  you'll learn fundamental economic concepts like scarcity  opportunity cost  and supply and demand.  You will learn things like the distinction between absolute and comparative advantage  how to identify comparative advantage from differences in opportunity costs  and how to apply the principle of comparative advantage to determine the basis on which mutually advantageous trade can take place between individuals and/or countries.
Economic indicators and the business cycle,AP®︎ Macroeconomics,x39b232cf9e590ae9,https://www.khanacademy.org/economics-finance-domain/ap-macroeconomics/economic-iondicators-and-the-business-cycle,economic-iondicators-and-the-business-cycle,In this unit  you'll learn to identify and examine key measures of economic performance: gross domestic product  unemployment  and inflation. The concept of the business cycle also gives you an overview of economic fluctuations in the short run.
