title,subject,interal_id,url,id_number,description
Counting,Early math,x310ffe65,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic,cc-early-math-counting-topic,Learn how to count. Say how many objects you see.
Addition and subtraction intro,Early math,xd0ae8a03,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics,cc-early-math-add-sub-basics,Learn the basics of adding and subtracting.
Place value (tens and hundreds),Early math,x314bd06e,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic,cc-early-math-place-value-topic,Learn about tens and hundreds. Compare 2-digit and 3-digit numbers.
Addition and subtraction within 20,Early math,xa2993d94,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20,cc-early-math-add-sub-20,Learn to add and subtract numbers that are 20 or less.
Addition and subtraction within 100,Early math,x2a262576,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-100,cc-early-math-add-sub-100,Learn to add and subtract two-digit numbers within 100.
Addition and subtraction within 1000,Early math,x4f9f5221,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-1000,cc-early-math-add-sub-1000,Learn to add and subtract two- and three-digit numbers within 1000.
Measurement and data,Early math,x853bca69,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic,cc-early-math-measure-data-topic,Learn how to measure length  tell time  count money  and make graphs.
Geometry,Early math,x54b9a662,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic,cc-early-math-geometry-topic,Learn about triangles  circles  rectangles  and other shapes.
Counting,Early math,x310ffe65,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic,cc-early-math-counting-topic,Learn how to count. Say how many objects you see.
Addition and subtraction intro,Early math,xd0ae8a03,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics,cc-early-math-add-sub-basics,Learn the basics of adding and subtracting.
Place value (tens and hundreds),Early math,x314bd06e,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic,cc-early-math-place-value-topic,Learn about tens and hundreds. Compare 2-digit and 3-digit numbers.
Addition and subtraction within 20,Early math,xa2993d94,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20,cc-early-math-add-sub-20,Learn to add and subtract numbers that are 20 or less.
Addition and subtraction within 100,Early math,x2a262576,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-100,cc-early-math-add-sub-100,Learn to add and subtract two-digit numbers within 100.
Addition and subtraction within 1000,Early math,x4f9f5221,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-1000,cc-early-math-add-sub-1000,Learn to add and subtract two- and three-digit numbers within 1000.
Measurement and data,Early math,x853bca69,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic,cc-early-math-measure-data-topic,Learn how to measure length  tell time  count money  and make graphs.
Geometry,Early math,x54b9a662,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic,cc-early-math-geometry-topic,Learn about triangles  circles  rectangles  and other shapes.
Counting and place value,Kindergarten,xa67251d8,https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-counting,cc-kindergarten-counting,Learn how to count. Say how many objects you see.  Learn about teen numbers and how to break them up.
Addition and subtraction,Kindergarten,xe14b6218,https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract,cc-kindergarten-add-subtract,Learn the basics of adding and subtracting.
Measurement and geometry,Kindergarten,x5e661ee5,https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-geometry,cc-kindergarten-geometry,Learn how to compare objects based on their size.  Learn basic shapes  compare shapes  and use shapes to create new shapes.
Place value,1st grade,xaa80d2ac,https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value,cc-1st-place-value,We will learn about the ones and tens place values and compare 2-digit numbers.
Addition and subtraction,1st grade,x2915748a,https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract,cc-1st-add-subtract,First  we will learn how addition and subtraction relate.  Next  we will add and subtract numbers less than or equal to 20 and solve addition and subtraction word problems.  Finally  we will begin adding 2-digit numbers.
Measurement data and geometry,1st grade,xf73303d8,https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-geometry,cc-1st-measurement-geometry,First  we will compare objects by length and measure objects with same-size length units without gaps or overlaps.  Next  we will read and interpret bar graphs  tell time on an analog clock  and learn about shapes.
