Column Name,Column Name 1
"Physics","https://www.khanacademy.org/science/physics"
"AP®︎ Physics 1","https://www.khanacademy.org/science/ap-physics-1"
"AP®︎ Physics 2","https://www.khanacademy.org/science/ap-physics-2"
"Chemistry","https://www.khanacademy.org/science/chemistry"
"AP®︎ Chemistry","https://www.khanacademy.org/science/ap-chemistry"
"Organic chemistry","https://www.khanacademy.org/science/organic-chemistry"
"Biology","https://www.khanacademy.org/science/biology"
"High school biology","https://www.khanacademy.org/science/high-school-biology"
"AP®︎ Biology","https://www.khanacademy.org/science/ap-biology"
"Cosmology and astronomy","https://www.khanacademy.org/science/cosmology-and-astronomy"
"Electrical engineering","https://www.khanacademy.org/science/electrical-engineering"
"Health and medicine","https://www.khanacademy.org/science/health-and-medicine"
"AP®︎ Chemistry beta","https://www.khanacademy.org/science/ap-chemistry-beta"
"Science & engineering partners","https://www.khanacademy.org/science/science-engineering-partners"
